Id,Regiao,Prima,CustoProduto,Pmaquinabase,Pmaquina1,Pmaquina2,Pmaquina3,Cmaquina1,Cmaquina2,Cmaquina3,Resposta
3433,552,1935,31123,1587.86,2316.61,2723.97,2934.04,1710.3142671909,1587.86,1350.40119920557,0
3434,558,2296,24505,3818.59,5014.81,5878.1,6156.56,3999.48596492064,3818.59,3257.77093242714,0
3435,554,1483,31901,583.81,1064.34,1010.31,1084.06,626.42661024834,583.81,615.03136205719,0
3436,560,2555,37282,868.34,1614.45,1463.66,1726.3,1024.15543363896,868.34,957.798609649782,0
3437,556,1790,67188,1011.09,1319.05,1280.04,1312.02,1036.35066232305,1011.09,1041.9035846536,0
3438,554,1773,27907,779.09,1237.22,1232.59,1314.09,830.60415718122,779.09,782.016509788332,0
3439,554,1688,24348,1345.75,2435.37,2754.7,2933.8,1433.24548952699,1345.75,1189.74813137547,0
3440,556,1618,35778,723.97,1077.56,1156.21,1213.61,759.911462191124,723.97,674.722682903625,0
3441,553,2057,21237,1258.86,3354.7,3987.14,4263.19,1346.01728642586,1258.86,1059.17967314917,0
3442,556,5435,102232,1873.83,3499.98,3949.97,4279.47,2030.14181629228,1873.83,1660.35881877584,0
3443,558,2462,41429,656.69,1078.78,919.18,1015.65,725.611086511891,656.69,770.713068387041,0
3444,556,2940,39965,1355.34,2315.88,2666.56,2854.33,1450.77838946058,1355.34,1177.09888365535,0
3445,558,2321,91768,946,2031.18,1988.66,2028.93,965.156326370521,946,966.22664507759,0
3446,553,3201,21101,1045.91,1654.51,1951.12,2116.86,1134.7559568863,1045.91,886.910366404937,0
3447,552,5278,114116,2263.48,3279.39,3697.24,3833.89,2347.1382266772,2263.48,2007.66887656739,0
3448,560,1600,21101,866.68,1509.03,1359.18,1450.4,924.846357362527,866.68,962.231728247914,0
3449,558,2901,22230,1335.78,1875.14,2631.52,2885.19,1464.54486312093,1335.78,951.835634614215,0
3450,554,1574,33989,766.84,1552.91,1539.98,1656.19,824.70729464019,766.84,773.278551929246,0
3451,553,1528,24893,525.68,942.23,882.61,958.85,571.088326667498,525.68,561.189502045071,0
3452,556,2394,36098,790.16,1233.57,1283.49,1398.5,860.964058933065,790.16,759.427553934974,0
3453,553,2237,40988,1385.28,2605.67,3224.21,3422.83,1470.61697048269,1385.28,1119.52463940004,0
3454,554,1582,16087,711.95,1326.63,1400.98,1574.35,800.053164570515,711.95,674.166817870348,0
3455,556,1709,23521,669.1,1091.01,1154.73,1257.3,728.533449377777,669.1,632.177903925593,0
3456,554,3226,33222,586.61,1340.09,1588.14,1834.28,677.526534688378,586.61,494.987970141171,0
3457,553,1766,18964,485.19,1325.75,1283.3,1498.95,566.722941245227,485.19,501.239493882958,0
3458,558,2901,29477,981.19,1472.63,1492.69,1743.6,1146.12068413401,981.19,968.003959093985,0
3459,559,3888,41674,1184.31,2149.58,2659.94,2843.3,1265.94909020504,1184.31,957.077637014369,0
3460,554,2118,14390,1497.95,2325.18,3431.45,3608.97,1575.44379533433,1497.95,1015.02378906876,0
3461,554,1460,24970,982.21,1780.89,1503.02,1649.75,1078.09673024976,982.21,1163.79553625368,0
3462,554,2076,29493,819.65,1259.4,1343.27,1458.28,889.827958638248,819.65,768.473359786193,0
3463,559,2087,40331,1011.14,1932.14,2118.9,2233.65,1065.89874982302,1011.14,922.018046911133,0
3464,558,6415,92636,1054.99,1837.89,2103.33,2995.98,1502.72612485915,1054.99,921.850385388884,0
3465,554,1833,41423,2326.15,3341.52,3988.98,4157.89,2424.64886349393,2326.15,1948.58754568837,0
3466,554,1645,60452,545.19,1367.76,1277.75,1379.95,588.796666405791,545.19,583.595440735668,0
3467,556,2525,38836,1463.12,1934.48,2879.03,2879.03,1463.12,1463.12,983.100689329392,0
3468,558,1846,31534,1384.93,1890.12,2321.55,2446.55,1459.4992533006,1384.93,1127.55869638819,0
3469,554,1508,34482,680.26,1405.89,1541.21,1630.65,719.737069575204,680.26,620.532394287605,0
3470,556,5706,23487,1532.13,2088.39,2398.08,2872.89,1835.48545323759,1532.13,1334.26948671437,0
3471,555,1529,19816,791.21,1504.7,1601.81,1762.41,870.537963990736,791.21,743.242761001617,0
3472,555,4710,106453,1492.48,2160.81,2625.67,2746.37,1561.08814039845,1492.48,1228.24487037594,0
3473,556,1817,48849,1088.97,1324.39,1554.99,1658,1161.10859876912,1088.97,927.479262438987,0
3474,552,2238,43874,634.17,1098.91,1057.04,1116.68,669.950953227882,634.17,659.289861027019,0
3475,552,5351,195833,1970.41,3035.86,3329.15,3329.16,1970.41591865792,1970.41,1796.8216819909,0
